Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
DNA,39,14.77,10,4.65,3,30.00,7.69,12.24
RNA,3,1.14,3,1.40,1,33.33,33.33,33.33
cell_type,32,12.12,41,19.07,15,36.59,46.88,41.10
protein,181,68.56,152,70.70,121,79.61,66.85,72.67
cell_line,9,3.41,9,4.19,3,33.33,33.33,33.33
ToTal,264,100,215,100,143,66.51,54.17,59.71
