Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
DNA,80,13.63,41,7.16,9,21.95,11.25,14.88
RNA,4,0.68,6,1.05,2,33.33,50.00,40.00
cell_type,68,11.58,113,19.72,32,28.32,47.06,35.36
protein,403,68.65,371,64.75,275,74.12,68.24,71.06
cell_line,32,5.45,42,7.33,11,26.19,34.38,29.73
ToTal,587,100,573,100,329,57.42,56.05,56.72
