Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
DNA,233,16.37,110,9.21,32,29.09,13.73,18.66
RNA,21,1.48,22,1.84,5,22.73,23.81,23.26
cell_type,191,13.42,255,21.36,70,27.45,36.65,31.39
protein,886,62.26,717,60.05,506,70.57,57.11,63.13
cell_line,92,6.47,90,7.54,22,24.44,23.91,24.18
ToTal,1423,100,1194,100,635,53.18,44.62,48.53
