Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
DNA,233,16.37,72,7.60,24,33.33,10.30,15.74
RNA,21,1.48,14,1.48,4,28.57,19.05,22.86
cell_type,191,13.42,172,18.16,57,33.14,29.84,31.40
protein,886,62.26,626,66.10,450,71.88,50.79,59.52
cell_line,92,6.47,63,6.65,19,30.16,20.65,24.52
ToTal,1423,100,947,100,554,58.50,38.93,46.75
