Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
DNA,233,16.37,125,9.97,38,30.40,16.31,21.23
RNA,21,1.48,24,1.91,5,20.83,23.81,22.22
cell_type,191,13.42,273,21.77,71,26.01,37.17,30.60
protein,886,62.26,740,59.01,515,69.59,58.13,63.35
cell_line,92,6.47,92,7.34,22,23.91,23.91,23.91
ToTal,1423,100,1254,100,651,51.91,45.75,48.64
