Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Organization,414,23.14,357,18.94,275,77.03,66.43,71.34
Person,543,30.35,556,29.50,519,93.35,95.58,94.45
Location,598,33.43,758,40.21,576,75.99,96.32,84.96
Miscellaneous,234,13.08,214,11.35,94,43.93,40.17,41.96
ToTal,1789,100,1885,100,1464,77.67,81.83,79.70
