Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
地点,361,46.28,316,47.73,173,54.75,47.92,51.11
机构,252,32.31,174,26.28,117,67.24,46.43,54.93
人物,167,21.41,172,25.98,123,71.51,73.65,72.57
ToTal,780,100,662,100,413,62.39,52.95,57.28
