Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Organization,245,23.74,181,23.54,141,77.90,57.55,66.20
Person,294,28.49,258,33.55,237,91.86,80.61,85.87
Location,266,25.78,222,28.87,193,86.94,72.56,79.10
Miscellaneous,227,22.00,108,14.04,61,56.48,26.87,36.42
ToTal,1032,100,769,100,632,82.18,61.24,70.18
