Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Person,72,40.45,116,38.41,58,50.00,80.56,61.70
Location,62,34.83,74,24.50,54,72.97,87.10,79.41
Corporation,16,8.99,33,10.93,11,33.33,68.75,44.90
Product,5,2.81,18,5.96,4,22.22,80.00,34.78
Creative work,10,5.62,35,11.59,6,17.14,60.00,26.67
Group,13,7.30,26,8.61,7,26.92,53.85,35.90
ToTal,178,100,302,100,140,46.36,78.65,58.33
