Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Person,16,38.10,28,44.44,15,53.57,93.75,68.18
Location,17,40.48,19,30.16,14,73.68,82.35,77.78
Corporation,2,4.76,5,7.94,2,40.00,100.00,57.14
Product,1,2.38,2,3.17,0,0.00,0.00,0.00
Creative work,5,11.90,8,12.70,2,25.00,40.00,30.77
Group,1,2.38,1,1.59,1,100.00,100.00,100.00
ToTal,42,100,63,100,34,53.97,80.95,64.76
