Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Person,107,39.93,92,39.83,47,51.09,43.93,47.24
Location,80,29.85,65,28.14,53,81.54,66.25,73.10
Corporation,32,11.94,22,9.52,7,31.82,21.88,25.93
Product,10,3.73,17,7.36,4,23.53,40.00,29.63
Creative work,17,6.34,23,9.96,6,26.09,35.29,30.00
Group,22,8.21,12,5.19,8,66.67,36.36,47.06
ToTal,268,100,231,100,125,54.11,46.64,50.10
