Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Person,107,39.93,122,39.48,57,46.72,53.27,49.78
Location,80,29.85,79,25.57,57,72.15,71.25,71.70
Corporation,32,11.94,28,9.06,9,32.14,28.13,30.00
Product,10,3.73,19,6.15,5,26.32,50.00,34.48
Creative work,17,6.34,38,12.30,8,21.05,47.06,29.09
Group,22,8.21,23,7.44,8,34.78,36.36,35.56
ToTal,268,100,309,100,144,46.60,53.73,49.91
