Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Person,107,39.93,120,39.87,57,47.50,53.27,50.22
Location,80,29.85,79,26.25,57,72.15,71.25,71.70
Corporation,32,11.94,26,8.64,9,34.62,28.13,31.03
Product,10,3.73,18,5.98,5,27.78,50.00,35.71
Creative work,17,6.34,35,11.63,7,20.00,41.18,26.92
Group,22,8.21,23,7.64,8,34.78,36.36,35.56
ToTal,268,100,301,100,143,47.51,53.36,50.26
