Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Person,40,40.82,69,42.86,36,52.17,90.00,66.06
Location,32,32.65,37,22.98,28,75.68,87.50,81.16
Corporation,10,10.20,19,11.80,6,31.58,60.00,41.38
Product,4,4.08,9,5.59,3,33.33,75.00,46.15
Creative work,6,6.12,19,11.80,3,15.79,50.00,24.00
Group,6,6.12,8,4.97,3,37.50,50.00,42.86
ToTal,98,100,161,100,79,49.07,80.61,61.00
