Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Person,107,39.93,61,37.89,39,63.93,36.45,46.43
Location,80,29.85,53,32.92,45,84.91,56.25,67.67
Corporation,32,11.94,14,8.70,5,35.71,15.63,21.74
Product,10,3.73,11,6.83,4,36.36,40.00,38.10
Creative work,17,6.34,15,9.32,4,26.67,23.53,25.00
Group,22,8.21,7,4.35,5,71.43,22.73,34.48
ToTal,268,100,161,100,102,63.35,38.06,47.55
