Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Event,2,0.63,19,5.34,0,0.00,0.00,0.00
Nationalities_or_Religious_or_Political_Groups,11,3.49,18,5.06,6,33.33,54.55,41.38
Cardinal,15,4.76,4,1.12,2,50.00,13.33,21.05
Ordinal,4,1.27,0,0.00,0,0.00,0.00,0.00
Percent,4,1.27,3,0.84,1,33.33,25.00,28.57
Law,0,0.00,1,0.28,0,0.00,0.00,0.00
Location,3,0.95,36,10.11,1,2.78,33.33,5.13
Language,0,0.00,2,0.56,0,0.00,0.00,0.00
Time,0,0.00,5,1.40,0,0.00,0.00,0.00
Countries_Cities_State,57,18.10,32,8.99,31,96.88,54.39,69.66
Product,0,0.00,8,2.25,0,0.00,0.00,0.00
Person,134,42.54,139,39.04,89,64.03,66.42,65.20
Work_Of_Art,2,0.63,13,3.65,2,15.38,100.00,26.67
Facility,4,1.27,13,3.65,0,0.00,0.00,0.00
Organization,43,13.65,43,12.08,13,30.23,30.23,30.23
Money,2,0.63,2,0.56,2,100.00,100.00,100.00
Date,34,10.79,15,4.21,14,93.33,41.18,57.14
Quantity,0,0.00,3,0.84,0,0.00,0.00,0.00
ToTal,315,100,356,100,161,45.22,51.11,47.99
