Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Event,4,0.49,20,3.75,1,5.00,25.00,8.33
Nationalities_or_Religious_or_Political_Groups,28,3.46,19,3.56,8,42.11,28.57,34.04
Cardinal,63,7.79,3,0.56,2,66.67,3.17,6.06
Ordinal,20,2.47,0,0.00,0,0.00,0.00,0.00
Percent,6,0.74,3,0.56,1,33.33,16.67,22.22
Law,1,0.12,5,0.94,0,0.00,0.00,0.00
Location,10,1.24,58,10.86,3,5.17,30.00,8.82
Language,1,0.12,3,0.56,0,0.00,0.00,0.00
Time,1,0.12,6,1.12,0,0.00,0.00,0.00
Countries_Cities_State,138,17.06,47,8.80,45,95.74,32.61,48.65
Product,0,0.00,10,1.87,0,0.00,0.00,0.00
Person,321,39.68,234,43.82,147,62.82,45.79,52.97
Work_Of_Art,16,1.98,13,2.43,2,15.38,12.50,13.79
Facility,9,1.11,21,3.93,0,0.00,0.00,0.00
Organization,77,9.52,55,10.30,18,32.73,23.38,27.27
Money,20,2.47,12,2.25,12,100.00,60.00,75.00
Date,89,11.00,23,4.31,18,78.26,20.22,32.14
Quantity,5,0.62,2,0.37,0,0.00,0.00,0.00
ToTal,809,100,534,100,257,48.13,31.77,38.27
