Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Event,0,0.00,1,0.80,0,0.00,0.00,0.00
Nationalities_or_Religious_or_Political_Groups,5,3.85,5,4.00,4,80.00,80.00,80.00
Cardinal,7,5.38,1,0.80,1,100.00,14.29,25.00
Ordinal,2,1.54,0,0.00,0,0.00,0.00,0.00
Percent,1,0.77,1,0.80,0,0.00,0.00,0.00
Law,0,0.00,1,0.80,0,0.00,0.00,0.00
Location,1,0.77,17,13.60,0,0.00,0.00,0.00
Language,0,0.00,0,0.00,0,0.00,0.00,0.00
Time,0,0.00,0,0.00,0,0.00,0.00,0.00
Countries_Cities_State,24,18.46,14,11.20,14,100.00,58.33,73.68
Product,0,0.00,2,1.60,0,0.00,0.00,0.00
Person,62,47.69,61,48.80,45,73.77,72.58,73.17
Work_Of_Art,0,0.00,2,1.60,0,0.00,0.00,0.00
Facility,4,3.08,5,4.00,0,0.00,0.00,0.00
Organization,11,8.46,10,8.00,5,50.00,45.45,47.62
Money,1,0.77,1,0.80,1,100.00,100.00,100.00
Date,12,9.23,4,3.20,4,100.00,33.33,50.00
Quantity,0,0.00,0,0.00,0,0.00,0.00,0.00
ToTal,130,100,125,100,74,59.20,56.92,58.04
