Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Event,4,0.49,13,3.81,1,7.69,25.00,11.76
Nationalities_or_Religious_or_Political_Groups,28,3.46,10,2.93,4,40.00,14.29,21.05
Cardinal,63,7.79,2,0.59,2,100.00,3.17,6.15
Ordinal,20,2.47,0,0.00,0,0.00,0.00,0.00
Percent,6,0.74,2,0.59,0,0.00,0.00,0.00
Law,1,0.12,1,0.29,0,0.00,0.00,0.00
Location,10,1.24,40,11.73,0,0.00,0.00,0.00
Language,1,0.12,3,0.88,0,0.00,0.00,0.00
Time,1,0.12,1,0.29,0,0.00,0.00,0.00
Countries_Cities_State,138,17.06,31,9.09,31,100.00,22.46,36.69
Product,0,0.00,7,2.05,0,0.00,0.00,0.00
Person,321,39.68,163,47.80,104,63.80,32.40,42.98
Work_Of_Art,16,1.98,6,1.76,2,33.33,12.50,18.18
Facility,9,1.11,9,2.64,0,0.00,0.00,0.00
Organization,77,9.52,31,9.09,10,32.26,12.99,18.52
Money,20,2.47,6,1.76,6,100.00,30.00,46.15
Date,89,11.00,16,4.69,13,81.25,14.61,24.76
Quantity,5,0.62,0,0.00,0,0.00,0.00,0.00
ToTal,809,100,341,100,173,50.73,21.38,30.09
